title,description,category,priority
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",RESEAU,CRITICAL
Commande de mobilier ergonomique,Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Simple remarque sans caractère urgent.,ACHAT,LOW
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACHAT,HIGH
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Suggestion d'amélioration,Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Simple remarque sans caractère urgent.,AUTRE,LOW
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",RESEAU,CRITICAL
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Connexion internet très lente,La connexion internet est anormalement lente ce matin sur tout l'étage. Simple remarque sans caractère urgent.,RESEAU,LOW
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Merci de traiter rapidement, cela ralentit fortement mon activité.",RESEAU,HIGH
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",AUTRE,MEDIUM
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Merci de traiter rapidement, cela ralentit fortement mon activité.",AUTRE,HIGH
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACHAT,CRITICAL
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACHAT,MEDIUM
Casque audio hors service,Mon casque ne produit plus aucun son lors des appels visio. Simple remarque sans caractère urgent.,MATERIEL,LOW
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Ce n'est pas prioritaire de mon côté, prenez votre temps.",RESEAU,LOW
